source,target,id
work@hightech.com,1092@hightech.com,work@hightech.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
bd4f4244fa91fa90b5037c4d9816eaff@qq.com,1230@hightech.com,bd4f4244fa91fa90b5037c4d9816eaff@qq.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
work@hightech.com,1087@hightech.com,work@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
c3dad6df4b792ba6b24511be2f824903@sina.com,1378@hightech.com,c3dad6df4b792ba6b24511be2f824903@sina.com
smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,smail@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
work@hightech.com,1092@hightech.com,work@hightech.com
1498@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,1498@hightech.com
fd6f41b89f2a08638deb1118aef6ff94@qq.com,1092@hightech.com,fd6f41b89f2a08638deb1118aef6ff94@qq.com
work@hightech.com,1087@hightech.com,work@hightech.com
work@hightech.com,1087@hightech.com,work@hightech.com
9826be86ec25100db59d3d6f0b790c20@sina.com,1110@hightech.com,9826be86ec25100db59d3d6f0b790c20@sina.com
work@hightech.com,1087@hightech.com,work@hightech.com
7efdbef9347cfc994a63462fc544329b@sina.com,1110@hightech.com,7efdbef9347cfc994a63462fc544329b@sina.com
24d78281d22e393216a9432d40d5b160@qq.com,1155@hightech.com,24d78281d22e393216a9432d40d5b160@qq.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
ti@hightech.net,1060@hightech.com,ti@hightech.net
1378@hightech.com,f3f38632ebfac46dc777de375c7aabac@foxmail.com,1378@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
work@hightech.com,1087@hightech.com,work@hightech.com
smail@hightech.com,1060@hightech.com;1098@hightech.com;1100@hightech.com;1154@hightech.com;1191@hightech.com;1207@hightech.com;1209@hightech.com,smail@hightech.com
1110@hightech.com,16cbc8ad77bf3ff0f608ee6da3b84165@foxmail.com,1110@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
f1f084d70e9238d9d3b25ad9f130a544@qq.com,1092@hightech.com,f1f084d70e9238d9d3b25ad9f130a544@qq.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
work@hightech.com,1092@hightech.com,work@hightech.com
1186@hightech.com,1291@hightech.com,1186@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
work@hightech.com,1092@hightech.com,work@hightech.com
ti@hightech.net,1060@hightech.com,ti@hightech.net
work@hightech.com,1092@hightech.com,work@hightech.com
work@hightech.com,1087@hightech.com,work@hightech.com
work@hightech.com,1087@hightech.com,work@hightech.com
